Highest_Charting_Position,Number_of_Times_Charted,Song_Name,Streams,Artist,Artist_Followers,Song_ID,Genre,Release_Date,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration_(ms),Valence,Chord
144,1,CLOUDS,5897983,NF,5831194,5UMMPHPp6vRP6ghPpSUOzp,hip hop,2/18/2021,69,0.793,0.65,-3.944,0.397,0.371,0.854,128.111,243750,0.809,C#/Db
50,5,Skin,5497942,Sabrina Carpenter,3689546,03B2SfXuvDh1m9F4tqrX07,pop,1/22/2021,76,0.557,0.457,-5.372,0.0335,0.428,0.0567,105.918,177500,0.328,G
62,17,Tyler Herro,5168107,Jack Harlow,1053324,4DuUwzP4ALMqpquHU0ltAB,hip hop,10/22/2020,76,0.794,0.756,-7.16,0.136,0.11,0.247,123.066,156498,0.775,F
173,5,Remember That Night?,5116325,Sara Kays,251549,1nYzjrdVQ8RpF93M0jPFW7,pop,11/6/2020,78,0.679,0.61,-10.936,0.0305,0.585,0.156,123.978,227186,0.554,G
128,3,Lifestyle (feat. Adam Levine),5059891,"Jason Derulo, Maroon 5",9778632,0osvOdeD3YXZiWkT8MKolJ,pop,1/21/2021,78,0.749,0.674,-5.128,0.0366,0.0209,0.169,123.055,153865,0.711,A#/Bb
177,7,Fly Away,5053713,Tones And I,2820477,5ri4zqtWhG07hIuNNDWP76,pop,11/13/2020,79,0.806,0.513,-6.208,0.0685,0.217,0.217,124.988,178157,0.503,E
37,25,Despeinada,5004462,"Ozuna, Camilo",29238936,0JAZWvvqttGFm4UMDsPQXC,latin,9/4/2020,75,0.734,0.775,-3.855,0.0614,0.186,0.123,166.039,224187,0.72,G#/Ab
14,5,motive (with Doja Cat),4986037,Ariana Grande,67208170,5GkQIP5mWPi4KZLLXeuFTT,pop,10/30/2020,80,0.789,0.742,-5.664,0.0652,0.0681,0.166,116.965,167990,0.661,A#/Bb
28,57,I Don't Care (with Justin Bieber),4984399,Ed Sheeran,83337783,3HVWdVOQ0ZA45FuZGSfvns,pop,5/10/2019,80,0.798,0.675,-5.041,0.0442,0.0912,0.0894,101.956,219947,0.842,F#/Gb
83,11,"Nathy Peluso: Bzrp Music Sessions, Vol. 36",5232509,"Bizarrap, Nathy Peluso",3134041,78SeXVRJ7KCqVmOwTiFjnI,latin,11/27/2020,77,0.65,0.655,-3.71,0.405,0.25,0.0691,94.059,171215,0.735,C#/Db
17,15,Hawái - Remix,5163323,"Maluma, The Weeknd",26784251,0GzuHFG4Ql6DoyxFRnIk3F,latin,11/5/2020,77,0.766,0.788,-3.128,0.312,0.105,0.142,179.984,200482,0.609,F#/Gb
22,32,Tattoo - Remix with Camilo,5120753,Rauw Alejandro,6096559,4ZRrLHqzhGRXYj2qcB4s5S,latin,7/9/2020,78,0.848,0.637,-5.132,0.156,0.0413,0.0521,96.988,222680,0.698,A
